evaluation_id,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,elapsed_minutes
159,4.0,100,snappy,latest,mean,71.81637072563171,71.369,72.188,0.278,37833.57078511517,37640.42,38075.97,147.46,1011.98
160,6.0,100,snappy,latest,mean,71.90706257820129,71.596,72.148,0.187,37792.75504782806,37653.7,37966.99,107.68,1018.3
161,8.0,100,snappy,latest,mean,71.83707342147827,71.401,72.172,0.279,37834.277508128675,37654.81,38071.44,151.99,1024.62
162,0.25,500,snappy,latest,mean,71.5179618358612,71.048,71.774,0.258,37995.519134509064,37844.63,38267.78,149.12,1030.91
163,0.5,500,snappy,latest,mean,71.95591273307801,71.566,72.344,0.27,37747.46125541461,37538.31,37973.18,149.95,1037.24
164,1.0,500,snappy,latest,mean,71.77457890510559,71.264,72.47,0.414,37855.76915613342,37475.11,38144.62,230.08,1043.56
165,2.0,500,snappy,latest,mean,71.76129441261291,71.366,72.219,0.363,37872.539449151605,37608.9,38083.9,197.94,1049.87
166,4.0,500,snappy,latest,mean,72.890789604187,71.639,77.092,2.115,37809.59596088381,37566.95,37941.1,139.21,1056.28
167,6.0,500,snappy,latest,mean,71.87274274826049,71.435,72.354,0.36,37813.7259769366,37539.41,38057.86,201.18,1062.6
168,8.0,500,snappy,latest,mean,71.78749423027038,71.612,71.976,0.133,37853.611453482285,37749.76,37957.98,72.76,1068.92
169,0.25,1,zstd,latest,mean,72.16491050720215,71.603,72.774,0.374,37684.11004730329,37354.81,37998.55,207.35,1075.27
170,0.5,1,zstd,latest,mean,71.94850535392762,71.495,72.306,0.28,37844.08636112759,37643.74,38071.44,147.61,1081.59
171,1.0,1,zstd,latest,mean,72.10408735275269,71.475,72.805,0.539,37756.96340179856,37377.17,38128.71,294.69,1087.94
172,2.0,1,zstd,latest,mean,71.86589665412903,71.254,72.515,0.459,37882.14311172189,37536.66,38204.39,243.07,1094.26
173,4.0,1,zstd,latest,mean,72.11954326629639,71.734,72.385,0.25,37733.74862908032,37570.26,37920.31,131.54,1100.6
174,6.0,1,zstd,latest,mean,71.79236812591553,71.271,72.141,0.331,37909.98484045075,37725.28,38211.81,185.72,1106.92
175,8.0,1,zstd,latest,mean,71.79949922561646,71.325,71.989,0.249,37923.316236867264,37804.39,38194.7,142.95,1113.23
176,0.25,100,zstd,latest,mean,72.44895868301391,72.174,72.703,0.199,37534.20906626088,37401.75,37681.42,106.85,1119.61
